	KTOPL	KSTAR	KSTSN	FUNC_AREA
	CABE	747230	0000747230
	CABE	748200	0000748200
	CABE	748500	0000748500
	CABE	749099	0000749099
	CABE	749100	0000749100
	CABE	749110	0000749110
	CABE	749120	0000749120
	CABE	749130	0000749130
	CABE	749580	0000749580
	CABE	749680	0000749680
	CABE	749690	0000749690
	CABE	749700	0000749700
	CABE	749800	0000749800
	CABE	749850	0000749850
	CABE	749900	0000749900
	CABE	749910	0000749910
	CABE	749950	0000749950
	CABE	800100	0000800100
	CABE	800200	0000800200
	CABE	800300	0000800300
	CABE	800400	0000800400
	CABE	810000	0000810000
	CABE	810100	0000810100
	CABE	810200	0000810200
	CABE	810300	0000810300
	CABE	810400	0000810400
	CABE	811200	0000811200
	CABE	811300	0000811300
	CABE	811400	0000811400
	CABE	820100	0000820100
	CABE	820200	0000820200
	CABE	820300	0000820300
	CABE	820400	0000820400
	CABE	830100	0000830100
	CABE	830200	0000830200
	CABE	830900	0000830900
	CABE	840100	0000840100
	CABE	840150	0000840150
	CABE	840500	0000840500
	CABE	840550	0000840550
	CABE	860000	0000860000
	CACH	37000	37000
	CACH	37010	37010
	CACH	37020	37020
	CACH	37030	37030
	CACH	37100	37100
	CACH	37200	37200
	CACH	37400	37400
	CACH	38031	38031
	CACH	40000	40000
	CACH	40030	40030
	CACH	40040	40040
	CACH	40050	40050
	CACH	40060	40060
	CACH	42000	42000
	CACH	42050	42050
	CACH	44000	44000
	CACH	45000	45000
	CACH	45100	45100
	CACH	45200	45200
	CACH	45300	45300
	CACH	45400	45400
	CACH	46000	46000
	CACH	46200	46200
	CACH	46400	46400
	CACH	46500	46500
	CACH	47000	47000
	CACH	47010	47010
	CACH	47020	47020
	CACH	47030	47030
	CACH	48000	48000
	CACH	48010	48010
	CACH	48020	48020
	CACH	48800	48800
	CACH	48810	48810
	CACH	49000	49000
	CACH	49010	49010
	CACH	49020	49020
	CACH	49030	49030
	CACH	49060	49060
	CACH	50000	50000
	CACH	50010	50010
	CACH	50020	50020
	CACH	50030	50030
	CACH	50040	50040
	CACH	50050	50050
	CACH	50060	50060
	CACH	50070	50070
	CACH	50080	50080
	CACH	50090	50090
	CACH	57000	57000
	CACH	57010	57010
	CACH	57100	57100
	CACH	57200	57200
	CACH	57300	57300
	CACH	57400	57400
	CACH	57900	57900
	CACH	58000	58000
	CACH	58100	58100
	CACH	58200	58200
	CACH	58300	58300
	CACH	58400	58400
	CACH	58800	58800
	CACH	59000	59000
	CACH	59010	59010
	CACH	60000	60000
	CACH	60300	60300
	CACH	60400	60400
	CACH	60500	60500
	CACH	60600	60600
	CACH	61000	61000
	CACH	61100	61100
	CACH	61200	61200
	CACH	61300	61300
	CACH	61400	61400
	CACH	61600	61600
	CACH	62000	62000
	CACH	62010	62010
	CACH	62020	62020
	CACH	62100	62100
	CACH	62110	62110
	CACH	62120	62120
	CACH	62200	62200
	CACH	62210	62210
	CACH	62220	62220
	CACH	62300	62300
	CACH	62310	62310
	CACH	62320	62320
	CACH	62600	62600
	CACH	62640	62640
	CACH	62800	62800
	CACH	62810	62810
	CACH	62820	62820
	CACH	63000	63000
	CACH	63010	63010
	CACH	63020	63020
	CACH	63100	63100
	CACH	63110	63110
	CACH	63120	63120
	CACH	63200	63200
	CACH	63300	63300
	CACH	63600	63600
	CACH	63610	63610
	CACH	63700	63700
	CACH	63710	63710
	CACH	64000	64000
	CACH	64010	64010
	CACH	64100	64100
	CACH	64200	64200
	CACH	64300	64300
	CACH	64600	64600
	CACH	64610	64610
	CACH	64620	64620
	CACH	65000	65000
	CACH	65010	65010
	CACH	65020	65020
	CACH	65030	65030
	CACH	65100	65100
	CACH	65110	65110
	CACH	65120	65120
	CACH	65130	65130
	CACH	65200	65200
	CACH	65210	65210
	CACH	65220	65220
	CACH	65310	65310
	CACH	65320	65320
	CACH	65400	65400
	CACH	65410	65410
	CACH	65420	65420
	CACH	65600	65600
	CACH	65610	65610
	CACH	65620	65620
	CACH	65700	65700
	CACH	65710	65710
	CACH	65720	65720
	CACH	65730	65730
	CACH	65740	65740
	CACH	65750	65750
	CACH	65800	65800
	CACH	65810	65810
	CACH	65820	65820
	CACH	66000	66000
	CACH	66100	66100
	CACH	66110	66110
	CACH	66210	66210
	CACH	66400	66400
	CACH	66401	66401
	CACH	66410	66410
	CACH	66420	66420
	CACH	66600	66600
	CACH	66610	66610
	CACH	66700	66700
	CACH	66710	66710
	CACH	66720	66720
	CACH	66800	66800
	CACH	66810	66810
	CACH	67000	67000
	CACH	67010	67010
	CACH	67100	67100
	CACH	67110	67110
	CACH	67200	67200
	CACH	98100	98100
	CACH	98110	98110
	CACH	98190	98190
	CACH	98400	98400
	CACH	98401	98401
	CACH	98402	98402
	CACH	98403	98403
	CACH	98500	98500
	CACH	98501	98501
